확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-03,네이버시리즈,15,내가 숨긴 아이 [독점],이헤이,2026-05-25,다운로드수,29.9만,#NOVEL #로맨스 #계략남 #까칠자상남 #상처녀 #소유욕/집착 #오래된연인,https://series.naver.com/novel/detail.series?productNo=14171381
2026-08-04,카카오페이지,1,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"548,998",,
2026-08-04,카카오페이지,2,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,403,197",,
2026-08-04,카카오페이지,3,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"3,893,761",,
2026-08-04,카카오페이지,4,장미다방 로맨스,다온향,2026-08-02,뷰수,"61,406",,
2026-08-04,카카오페이지,5,장미다방 로맨스 [19세 완전판],다온향,2026-08-02,뷰수,"45,722",,
2026-08-04,카카오페이지,6,독점 계약,유정연,2026-07-29,뷰수,"222,108",,
2026-08-04,카카오페이지,7,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"19,929,478",,
2026-08-04,카카오페이지,8,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,484,116",,
2026-08-04,카카오페이지,9,플래그 [19세 완전판],꽃제이,2026-06-22,뷰수,"1,176,412",,
2026-08-04,카카오페이지,10,오빠 친구와의 맞선,휘나,2026-07-23,뷰수,"500,507",,
2026-08-04,카카오페이지,11,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"26,091",,
2026-08-04,카카오페이지,12,십이지신의 사랑받는 아기 신녀님,센리,2026-07-15,뷰수,"632,527",,
2026-08-04,카카오페이지,13,교주영옥,"무시익,황용",2026-07-27,뷰수,"183,961",,
2026-08-04,카카오페이지,14,병미인화살저도,"무시익,김아랑",2026-07-16,뷰수,"435,142",,
2026-08-04,카카오페이지,15,장희빈의 애기나인으로 살아남기,김정화,2026-05-14,뷰수,"1,605,107",,
2026-08-04,리디북스,1,양의 언덕,문설영,2024-10-18,별점(리뷰수),"4.7(3,087)",,https://ridibooks.com/books/945091557
2026-08-04,리디북스,2,음란한 좋은 선배,양과람,2020-06-11,별점(리뷰수),4.3(293),,https://ridibooks.com/books/4708000219
2026-08-04,리디북스,3,<핑커 퐁커 스토커> 세트 원샷,또다른,2019-09-24,별점(리뷰수),4.7(681),,https://ridibooks.com/books/111143932
2026-08-04,리디북스,4,궁합을 봅시다,김살구,2020-04-10,별점(리뷰수),4.7(217),,https://ridibooks.com/books/945097941
2026-08-04,리디북스,5,가면의 개화,시크,2015-07-14,별점(리뷰수),4.0(139),,https://ridibooks.com/books/1483041530
2026-08-04,리디북스,6,러브:제로(Love:Zero),이분홍,2024-10-18,별점(리뷰수),"4.8(6,116)",,https://ridibooks.com/books/5721000280
2026-08-04,리디북스,7,숫것,가김,2024-02-13,별점(리뷰수),"4.8(1,268)",,https://ridibooks.com/books/4934000651
2026-08-04,리디북스,8,어느 쓰레기통의 취향저격,유이세스,2022-05-09,별점(리뷰수),4.6(554),,https://ridibooks.com/books/6167000176
2026-08-04,리디북스,9,핑커 퐁커 스토커,또다른,2019-09-24,별점(리뷰수),4.7(681),,https://ridibooks.com/books/5238000634
2026-08-04,리디북스,10,김우진의 여사친 걔,작저,2023-09-04,별점(리뷰수),4.5(789),,https://ridibooks.com/books/120108818
2026-08-04,리디북스,11,더티 너티 러브,도민아,2024-10-18,별점(리뷰수),"4.4(1,584)",,https://ridibooks.com/books/3302051433
2026-08-04,리디북스,12,사내 반려식물 관리 지침서,이해낸,2024-10-18,별점(리뷰수),4.4(969),,https://ridibooks.com/books/3075002983
2026-08-04,리디북스,13,건반 위를 기어다니는 거머리야,한서연,2024-10-18,별점(리뷰수),4.4(106),,https://ridibooks.com/books/4954015956
2026-08-04,리디북스,14,산삼보다 더 귀한 신랑을 캤습니다,예하본,2024-10-18,별점(리뷰수),"4.6(1,749)",,https://ridibooks.com/books/3885046951
2026-08-04,리디북스,15,베이비 트랩(Baby Trap),구란화,2024-10-18,별점(리뷰수),4.4(85),,https://ridibooks.com/books/2259040225
2026-08-04,네이버시리즈,1,교수님 아이가 아니에요 [독점],배사비,2026-07-27,다운로드수,31.1만,#NOVEL #로맨스 #전문직로맨스 #베이비메신저 #메디컬 #재회물 #후회남,https://series.naver.com/novel/detail.series?productNo=14470119
2026-08-04,네이버시리즈,2,내 비서의 임신 [독점],진하리,2026-07-04,다운로드수,38.4만,#NOVEL #로맨스 #직진남 #상처녀 #소유욕/집착 #오피스로맨스 #비서물,https://series.naver.com/novel/detail.series?productNo=14374409
2026-08-04,네이버시리즈,3,버릇 나쁜 오빠 [독점][삽화본],갓녀,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14506678
2026-08-04,네이버시리즈,4,크리티컬 플러팅 [독점],임여리,2026-05-30,다운로드수,86.7만,#NOVEL #로맨스 #직진남 #능글남 #철벽녀 #재벌 #권선징악,https://series.naver.com/novel/detail.series?productNo=14206564
2026-08-04,네이버시리즈,5,길사,carbo(도효원),2024-07-15,다운로드수,55.3만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=11332265
2026-08-04,네이버시리즈,6,어린 아내와 나쁜 짓 [독점],이리와,2024-11-20,다운로드수,664.4만,#NOVEL #로맨스 #계약관계 #순정남 #나이차커플 #상처녀 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=11852343
2026-08-04,네이버시리즈,7,"나야, 당신 남편",달고나,2026-03-04,다운로드수,39.1만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=13764475
2026-08-04,네이버시리즈,8,미친 사랑 끝에 [외전 선공개],리나리아L,2023-02-15,다운로드수,428.5만,#NOVEL #로맨스 #계략남 #소유욕/집착 #상처녀 #재벌 #오피스로맨스,https://series.naver.com/novel/detail.series?productNo=9380466
2026-08-04,네이버시리즈,9,그 개는 뭅니다 [독점],박약초,2026-07-30,다운로드수,21.3만,#NOVEL #로맨스 #오피스로맨스 #재벌 #폭스남 #다정녀 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=14469623
2026-08-04,네이버시리즈,10,내가 숨긴 아이 [독점],이헤이,2026-05-25,다운로드수,30.8만,#NOVEL #로맨스 #계략남 #까칠자상남 #상처녀 #소유욕/집착 #오래된연인,https://series.naver.com/novel/detail.series?productNo=14171381
2026-08-04,네이버시리즈,11,못된 집착 [선공개],재인,2022-06-01,다운로드수,201.6만,#NOVEL #로맨스 #계약관계 #상처녀 #몸정>맘정 #후회남 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=8508592
2026-08-04,네이버시리즈,12,결혼은 복수다 [독점],닥터냐냐,2026-07-11,다운로드수,30.2만,#NOVEL #로맨스 #복수물 #재벌 #계략녀 #능력남 #귀환물,https://series.naver.com/novel/detail.series?productNo=14386761
2026-08-04,네이버시리즈,13,남사친의 취향 [삽화본][독점],벚꽃그리고,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14190439
2026-08-04,네이버시리즈,14,반드시 결혼을 허락할 것 [독점],느린돌,2026-08-01,다운로드수,8만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #까칠자상남 #재벌 #직진남,https://series.naver.com/novel/detail.series?productNo=14514114
2026-08-04,네이버시리즈,15,미친 황제의 목줄을 쥐었다 [선공개],아란결,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14443911
2026-08-05,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,477,202",,https://page.kakao.com/content/68283715
2026-08-05,카카오페이지,2,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"604,843",,https://page.kakao.com/content/69836997
2026-08-05,카카오페이지,3,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"95,734",,https://page.kakao.com/content/69855205
2026-08-05,카카오페이지,4,청룡 가문의 많이 수상한 삐약이,라비올리,2026-08-04,뷰수,"96,555",,https://page.kakao.com/content/69968194
2026-08-05,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"19,966,790",,https://page.kakao.com/content/65721646
2026-08-05,카카오페이지,6,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"3,918,423",,https://page.kakao.com/content/69113551
2026-08-05,카카오페이지,7,장미다방 로맨스,다온향,2026-08-02,뷰수,"79,906",,https://page.kakao.com/content/69895764
2026-08-05,카카오페이지,8,윗집 오빠의 야밤 연락,아유이,2026-05-04,뷰수,"1,226,125",,https://page.kakao.com/content/69139831
2026-08-05,카카오페이지,9,장미다방 로맨스 [19세 완전판],다온향,2026-08-02,뷰수,"66,513",,https://page.kakao.com/content/69895771
